ID,name,x,y,country
2000.0,NO-S,958.3312946743176,204.94951172858123,DK
2001.0,ATL-C,732.8455401187957,388.3029799657704,DK
2002.0,ATL-N,694.6143914225306,256.444528339877,DK
2003.0,ATL-S,708.658486861975,538.1066646531762,DK
2004.0,ATL-Sco,580.7011728581494,277.5106714990434,DK
2005.0,ATL-En-No,635.3170995670994,403.1273029296284,DK
2006.0,ATL-En-S,639.2182371891672,522.5021141649047,DK
2007.0,ATL-Bel,711.7793969596291,574.777358300614,DK
2008.0,ATL-NL,773.4173713883013,538.8868921775897,DK
2009.0,ATL-E,902.935140440954,441.3584516258934,DK
